Array values for run #1:
FIFO	LIFO	Sorted	Data	Priority
40	69	28	43	2
39	20	44	73	1
80	71	24	54	2
11	45	57	52	3
88	20	14	75	2
68	95	8	30	3
59	75	35	0	3
78	0	64	78	3
85	3	69	35	3
44	71	66	48	2
29	51	11	68	2
97	84	7	2	2
28	11	97	46	3
38	80	59	91	2
73	11	97	92	2
14	17	72	28	1
58	83	65	86	3
88	93	46	34	3
94	52	79	3	2
64	9	34	78	1
98	65	60	52	2
37	99	76	71	2
63	66	79	14	1
89	55	83	95	3
5	32	16	97	1
28	87	71	93	3
65	76	34	81	3
3	94	32	29	3
23	45	10	58	3
59	40	58	98	3
22	35	70	98	1
94	69	64	1	3
12	76	35	4	2
90	64	33	54	1
8	83	0	38	1
30	59	44	99	3
36	45	66	10	2
36	68	93	23	1
82	6	62	33	2
2	5	61	69	1
38	71	73	35	1
1	93	35	49	3
25	87	3	20	3
48	97	59	39	1
62	56	46	6	1
8	82	1	68	2
14	19	68	79	2
46	74	58	99	1
19	69	55	83	1
14	59	81	65	2
47	54	52	61	3
6	26	31	67	3
20	73	64	3	3
93	59	93	30	3
48	45	95	6	2
13	88	1	68	1
5	9	24	64	1
3	28	38	34	1
47	14	48	84	3
50	67	19	4	2
32	13	75	47	3
6	30	17	83	1
14	0	51	10	1
37	18	24	84	1
32	25	3	5	2
35	34	19	5	2
19	89	84	92	3
9	25	73	66	1
90	57	96	4	2
89	20	33	34	2
61	48	81	40	1
82	55	62	82	3
55	10	60	26	1
24	36	39	35	2
95	99	49	63	1
69	89	40	51	3
77	54	14	14	1
26	17	19	55	1
26	80	98	3	3
6	58	66	11	1
32	82	70	94	3
37	95	81	78	1
7	47	25	44	3
51	76	94	20	1
71	19	67	81	3
29	26	41	65	1
8	72	76	18	3
95	15	78	79	2
96	97	68	93	2
68	62	18	39	3
26	82	99	86	2
83	52	7	83	2
21	35	68	20	2
7	9	45	86	1
64	84	39	47	1
50	43	33	34	3
56	80	67	31	3
68	38	72	86	2
62	10	75	7	2
59	0	72	39	2

----------------RUN ONE----------------

FIFO	LIFO	Sorted	Data	Priority
40	71	69	73	1
39	51	66	43	2
80	84	64	54	2
11	11	97	75	2
88	80	59	48	2
68	11	97	68	2
59	17	72	28	1
78	83	65	2	2
85	93	57	91	2
44	52	79	92	2
29	9	46	78	1
97	65	60	3	2
28	99	76	52	2
38	66	79	14	1
73	55	83	71	2
14	32	44	97	1
58	87	71	52	3
88	76	35	30	3
94	94	34	0	3
64	45	34	78	3
98	40	58	35	3
37	35	70	98	1
63	69	64	46	3
